Date,Symbol,Open,High,Low,Close,Volume,RSI,MACD,MA20,Volatility,SentimentScore,AnomalyFlag,Label
1987-12-28,INFY.NS,95.71,97.76,95.39,97.72,3604398,33.57,0.647,97.72,0.0167,-1.0,0,HOLD
1987-12-29,TSLA,102.24,102.59,99.95,101.59,4302654,46.81,-1.6457,99.65,0.0073,-0.245,0,HOLD
1987-12-30,TCS.NS,97.53,98.76,95.57,97.21,4764549,48.98,2.5113,98.84,0.0084,-1.0,0,HOLD
1987-12-31,TCS.NS,102.6,102.85,101.67,101.9,1478820,52.76,0.9131,99.6,0.0063,-1.0,0,HOLD
1988-01-01,INFY.NS,95.71,97.09,95.37,95.45,449916,36.52,0.1294,98.77,0.021,-1.0,0,SELL
1988-01-04,TSLA,98.44,99.85,98.04,98.71,4890522,33.72,0.954,98.76,0.0594,-0.063,0,HOLD
1988-01-05,AAPL,97.11,98.34,97.03,97.06,3538946,33.26,-2.2906,98.52,0.0011,1.0,0,SELL
1988-01-06,TSLA,99.88,100.67,98.5,99.18,2213892,23.48,-0.4274,98.6,0.0172,1.0,0,HOLD
1988-01-07,RELIANCE.NS,100.25,100.64,98.54,100.47,951262,54.34,1.853,98.81,0.0188,-0.705,0,BUY
1988-01-08,RELIANCE.NS,99.19,100.56,98.67,100.04,1422313,47.79,3.993,98.93,0.0138,0.222,0,BUY
1988-01-11,AAPL,101.84,102.33,99.56,101.34,4153249,30.5,-0.652,99.15,0.0163,-1.0,0,SELL
1988-01-12,INFY.NS,99.27,101.07,98.54,99.27,2010098,45.07,0.2251,99.16,0.0046,-0.096,0,HOLD
1988-01-13,AAPL,97.96,99.56,96.93,99.49,3563792,57.46,-0.1027,99.19,0.0462,1.0,0,BUY
1988-01-14,INFY.NS,96.37,97.98,94.92,97.63,4581600,56.4,-4.042,99.08,0.0446,0.011,0,SELL
1988-01-15,AAPL,98.76,99.86,98.4,99.13,1496190,47.85,-0.4941,99.08,0.0194,-0.568,0,HOLD
1988-01-18,TCS.NS,104.52,105.92,102.99,103.35,2296420,33.89,2.7525,99.35,0.0221,-1.0,0,HOLD
1988-01-19,RELIANCE.NS,97.78,98.8,97.08,98.17,1947217,36.79,2.9426,99.28,0.026,0.373,0,HOLD
1988-01-20,TCS.NS,101.43,103.16,100.05,101.13,4759369,57.83,-1.0472,99.38,0.025,-1.0,0,HOLD
1988-01-21,INFY.NS,103.3,104.94,101.55,104.31,3544025,58.73,-2.655,99.64,0.0207,0.132,0,HOLD
1988-01-22,INFY.NS,95.74,96.33,94.58,96.3,4346765,47.26,-0.6701,99.47,0.0033,0.561,0,SELL
